RTL,drop,spp,genome.count,gen.div
0.673045164,0.895238095,Acinetobacter_baumannii,105,0.326955
0.626634874,0.904761905,Acinetobacter_baumannii,105,0.373365
0.626633978,0.914285714,Acinetobacter_baumannii,105,0.373366
0.580244613,0.923809524,Acinetobacter_baumannii,105,0.419755
0.533803383,0.933333333,Acinetobacter_baumannii,105,0.466197
0.464233983,0.942857143,Acinetobacter_baumannii,105,0.535766
0.417819657,0.952380952,Acinetobacter_baumannii,105,0.58218
0.348198244,0.961904762,Acinetobacter_baumannii,105,0.651802
0.278578025,0.971428571,Acinetobacter_baumannii,105,0.721422
1,0,Acinetobacter_pittii,10,0
1,0.1,Acinetobacter_pittii,10,0
0.999998164,0.2,Acinetobacter_pittii,10,2.00E-06
0.952637215,0.3,Acinetobacter_pittii,10,0.047363
0.900009517,0.4,Acinetobacter_pittii,10,0.09999
0.852654077,0.5,Acinetobacter_pittii,10,0.147346
0.757973798,0.6,Acinetobacter_pittii,10,0.242026
0.663256797,0.7,Acinetobacter_pittii,10,0.336743
1,0,Aeromonas_hydrophila,17,0
1,0.058823529,Aeromonas_hydrophila,17,0
1,0.117647059,Aeromonas_hydrophila,17,0
1,0.176470588,Aeromonas_hydrophila,17,0
1,0.235294118,Aeromonas_hydrophila,17,0
1,0.294117647,Aeromonas_hydrophila,17,0
1,0.352941176,Aeromonas_hydrophila,17,0
0.999999781,0.411764706,Aeromonas_hydrophila,17,0
0.999999562,0.470588235,Aeromonas_hydrophila,17,0
0.993202625,0.529411765,Aeromonas_hydrophila,17,0.006797
0.986405556,0.588235294,Aeromonas_hydrophila,17,0.013594
0.967231906,0.647058824,Aeromonas_hydrophila,17,0.032768
0.953631464,0.705882353,Aeromonas_hydrophila,17,0.046369
0.940037457,0.764705882,Aeromonas_hydrophila,17,0.059963
0.904548171,0.823529412,Aeromonas_hydrophila,17,0.095452
1,0,Alteromonas_mediterranea,12,0
1,0.083333333,Alteromonas_mediterranea,12,0
1,0.166666667,Alteromonas_mediterranea,12,0
1,0.25,Alteromonas_mediterranea,12,0
1,0.333333333,Alteromonas_mediterranea,12,0
1,0.416666667,Alteromonas_mediterranea,12,0
0.999998307,0.5,Alteromonas_mediterranea,12,2.00E-06
0.941877047,0.583333333,Alteromonas_mediterranea,12,0.058123
0.837251397,0.666666667,Alteromonas_mediterranea,12,0.162749
0.627914758,0.75,Alteromonas_mediterranea,12,0.372085
1,0,Bacillus_amyloliquefaciens,25,0
1,0.04,Bacillus_amyloliquefaciens,25,0
1,0.08,Bacillus_amyloliquefaciens,25,0
1,0.12,Bacillus_amyloliquefaciens,25,0
1,0.16,Bacillus_amyloliquefaciens,25,0
0.999999441,0.2,Bacillus_amyloliquefaciens,25,1.00E-06
0.999998882,0.24,Bacillus_amyloliquefaciens,25,1.00E-06
0.999997764,0.28,Bacillus_amyloliquefaciens,25,2.00E-06
0.985522188,0.32,Bacillus_amyloliquefaciens,25,0.014478
0.971054343,0.36,Bacillus_amyloliquefaciens,25,0.028946
